# SuperPro reference — omega-3 oils via heterotrophic microalgal fermentation (INTELLIGEN example).
# Case A: hexane liquid-liquid extraction. 2021 prices, USD. Main product = omega-3 oils (PUFA).
# Heterotrophic fermentation (Schizochytrium-like): glucose + ammonium sulfate + yeast extract + minerals,
# N-limited stress -> lipid accumulation; cell disruption (homogenisation) -> hexane extraction ->
# degumming -> winterisation -> omega-3 oil. Co-products: protein-rich algae meal ($150/MT), lecithin.
# Batch process: batch size 9,088 kg oil, ~1 day recipe cycle (6 staggered 300 m3 fermenters).
# metric,value
total_capex_eur,85287000
annual_opex_eur,49087000
production_cost_eur_per_kg,16.57
annual_production_kg,2962584
electricity_kwh_per_kg,7.34
annual_revenue_eur,90666000
npv_eur,251622000
